tmin	condition	text	tmax	duration	maxF0	meanF0	meanF0st	medianF0	minF0	sdF0	midpointF0	slopeF0	maxInt	meanInt	medianInt	minInt	sdInt	midpointInt	medianF1	medianF1Bark	medianF2	medianF2Bark	medianF3	medianF3Bark	SPLH.SPL	file	subject
86,85593	ma51	f	87,031487	0,175557	NA	180,3361326023	89,9345361303	NA	NA	NA	NA	NA	60,3450824677	54,6047132894	53,1701327845	48,5099000644	2,9513690236	56,0584833921	851,9852017315	7,5948767602	2129,8982029773	13,3175990655	NA	NA	0,0688184248	id3_part2.csv	3
89,794204	sa32	p	89,819948	0,025744	NA	222,0588370081	93,537578105	NA	NA	NA	NA	NA	70,5422663138	68,236819179	67,997388948	65,4525115822	4,059176555	66,588538515	910,6983269158	7,9700608128	1714,4503760837	11,8801260626	NA	NA	0,0621497812	id3_part2.csv	3
89,819948	sa32	a	89,959988	0,14004	214,7101082138	196,0749467023	91,3517057653	193,056860345	184,5982490651	12,6884113195	190,9027985526	-268,7790912297	76,2830521956	73,8382914327	74,0017137411	65,9167593665	3,0955133657	74,0042445545	1074,6845680259	8,9385059162	1766,732868114	12,0771138864	NA	NA	0,1179223107	id3_part2.csv	3
89,959988	sa32	f	90,105396	0,145408	NA	185,2132990714	90,3965266018	185,2132994459	NA	NA	NA	NA	60,841723657	54,4683946766	53,1349644721	49,2801436388	2,9011945046	54,2141398584	792,5002468897	7,1975616536	2082,6427652674	13,1674437678	NA	NA	0,0438796377	id3_part2.csv	3
92,499452	si43	p	92,567113	0,067661	247,6310132641	245,1835523466	95,2499886779	247,6310132641	244,1324605916	NA	NA	-654,3142143052	67,3962808511	65,2898728252	59,5958692132	58,4551378818	3,5077530922	58,7397934098	1287,6120580044	10,0439554751	1878,1007342097	12,4800367065	NA	NA	0,0918230411	id3_part2.csv	3
92,567113	si43	I	92,684432	0,117319	233,6875294985	228,4701491646	94,0268454204	227,002316091	223,368612311	4,9457493707	224,3354602582	-172,8347227205	77,5478832754	75,358074505	75,7550159329	68,5671320904	2,8946744269	76,2041808071	503,4832701471	4,9886953258	1828,6650435201	12,3039066083	NA	NA	0,0548387424	id3_part2.csv	3
92,684432	si43	f	92,87226	0,187828	225,8561396513	227,9384853149	93,9884799697	227,9830362597	225,1917356783	NA	NA	-372,1734108599	64,6353876676	54,8473412703	50,7279989737	46,3777207327	4,6977519207	50,0075028994	1004,2117538539	8,5341729746	1986,5061782238	12,8522864658	NA	NA	0,0388985881	id3_part2.csv	3
95,80598	si11	p	95,854723	0,048743	250,7301872893	250,3171393367	95,6113121713	249,9119457609	249,9119457609	NA	NA	83,0811709569	75,4868971799	69,3258005745	64,1078829002	63,1094515993	5,2635482686	63,4016070111	745,8208890444	6,873089391	1927,8621370007	12,6532669355	NA	NA	0,0719272765	id3_part2.csv	3
95,854723	si11	I	95,969074	0,114351	246,5383942753	236,339682284	94,6110221841	234,1146419502	230,261594649	6,5064607965	233,4621943171	-213,5716302823	80,3418237337	78,2102023791	79,0227923488	71,0224510045	3,0206186614	79,0923387661	619,0595727328	5,9311590019	2021,5545580737	12,9687897517	NA	NA	0,10124034	id3_part2.csv	3
95,969074	si11	f	96,09037	0,121296	229,7461602872	229,5495248124	94,1115821431	229,5218934385	228,2244533231	NA	NA	-172,9920153798	66,3110746223	57,0889405588	52,6874421084	49,253477277	4,9179394453	52,6247256955	1072,3373522614	8,9254044039	1830,9320556517	12,3120937932	NA	NA	0,0471677931	id3_part2.csv	3
98,905944	mi45	p	98,959852	0,053908	237,7055363155	237,7055363155	94,716380337	NA	237,7055363155	NA	NA	NA	69,8028726978	63,811071636	59,7357724676	56,0547858113	5,2285437576	56,2535297139	844,9999834723	7,548921253	1891,5525714348	12,5273474264	NA	NA	0,0383785476	id3_part2.csv	3
98,959852	mi45	I	99,071978	0,112126	231,6816053326	222,4666239983	93,5636416155	221,301311206	216,0932288092	6,1957566928	218,1587455779	-259,9084281305	74,743874615	72,0611022001	72,2498319254	64,5397665648	3,2951901587	72,1963045134	588,0361717044	5,6863420012	1886,2963171659	12,5089300693	NA	NA	0,0242923956	id3_part2.csv	3
99,071978	mi45	f	99,308427	0,236449	NA	226,1551416651	93,8536028758	226,7865710097	NA	NA	NA	NA	59,8566670212	51,3103800142	50,0418720407	43,4746648135	3,9305102969	49,7498446927	916,3593691605	8,0045876891	1851,9078166833	12,3872836855	NA	NA	0,0378109419	id3_part2.csv	3
102,156165	sa42	p	102,214794	0,058629	196,2528693464	196,2528693464	91,398839245	NA	196,2528693464	NA	NA	NA	67,6436206229	64,776977638	63,9839646979	62,2488422674	1,8856754612	62,5002157157	1113,8417638694	9,1538501742	1700,7254266862	11,8275418361	NA	NA	0,0886558524	id3_part2.csv	3
102,214794	sa42	a	102,367582	0,152788	193,1120744909	183,8740754389	90,2584207836	184,0580048839	172,9708520602	7,3816629668	182,2080103073	-198,4299909366	73,3429354741	70,6816283944	71,155529723	55,4482504764	5,5982591762	72,4488254668	982,6699626879	8,4087894367	1818,0075228688	12,2653589893	NA	NA	0,0711130587	id3_part2.csv	3
